interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
900.00,1200.00,corridor_aggregated_5mins_all,144,28.78,187,4481,AGGREGATED,717,717,0.22,4493,43,0.07,336.93,38021.31,13.08,0.78,7449.11,336.93,3698.00
900.00,1200.00,corridor_aggregated_5mins_bus,0,0.26,0,22,AGGREGATED,0,0,0.00,20,43,0.00,664.74,339.54,6.64,0.40,44.74,687.33,1.00
900.00,1200.00,corridor_aggregated_5mins_gen,104,17.17,187,2721,AGGREGATED,436,436,0.13,2679,43,0.04,319.85,22681.69,13.78,0.82,3618.42,319.64,1658.00
1200.00,1500.00,corridor_aggregated_5mins_all,175,28.79,159,4281,AGGREGATED,837,837,0.22,4287,43,0.08,351.36,38038.95,12.54,0.75,8000.46,351.30,4344.00
1200.00,1500.00,corridor_aggregated_5mins_bus,0,1.34,0,128,AGGREGATED,4,4,0.01,121,43,0.01,572.27,1772.16,7.72,0.46,302.35,585.59,11.00
1200.00,1500.00,corridor_aggregated_5mins_gen,171,27.30,159,4131,AGGREGATED,828,828,0.21,4141,43,0.07,344.23,36071.41,12.80,0.77,7623.07,344.30,4286.00
1500.00,1800.00,corridor_aggregated_5mins_all,126,30.98,93,4811,AGGREGATED,979,979,0.23,4718,43,0.10,360.85,40925.86,12.22,0.73,8486.54,360.16,3342.00
1500.00,1800.00,corridor_aggregated_5mins_bus,0,3.58,0,308,AGGREGATED,20,20,0.03,297,43,0.03,615.63,4732.83,7.17,0.43,1011.63,630.07,225.00
1500.00,1800.00,corridor_aggregated_5mins_gen,126,26.66,93,4402,AGGREGATED,937,937,0.20,4325,43,0.07,340.70,35224.97,12.94,0.77,7338.51,340.43,3114.00
1800.00,2100.00,corridor_aggregated_5mins_all,120,45.45,125,6146,AGGREGATED,1327,1327,0.34,6109,43,0.15,394.68,60046.48,11.17,0.67,16245.50,394.69,7220.00
1800.00,2100.00,corridor_aggregated_5mins_bus,0,5.05,0,376,AGGREGATED,37,37,0.04,373,43,0.04,644.82,6673.50,6.85,0.41,1521.85,661.05,368.00
1800.00,2100.00,corridor_aggregated_5mins_gen,120,39.09,125,5631,AGGREGATED,1253,1253,0.30,5597,43,0.10,374.22,51643.93,11.78,0.70,14343.96,374.64,6725.00
2100.00,2400.00,corridor_aggregated_5mins_all,135,48.17,114,6402,AGGREGATED,1413,1413,0.36,6387,43,0.16,394.75,63632.65,11.17,0.67,16822.38,395.04,6767.00
2100.00,2400.00,corridor_aggregated_5mins_bus,0,5.39,0,412,AGGREGATED,32,32,0.04,414,43,0.05,620.41,7115.23,7.12,0.43,1691.35,633.81,497.00
2100.00,2400.00,corridor_aggregated_5mins_gen,135,41.37,114,5839,AGGREGATED,1345,1345,0.31,5823,43,0.11,375.22,54656.90,11.75,0.70,14722.02,375.81,6125.00
2400.00,2700.00,corridor_aggregated_5mins_all,133,47.79,137,6424,AGGREGATED,1321,1321,0.36,6440,43,0.16,398.88,63142.28,11.05,0.66,17384.80,398.00,7787.00
2400.00,2700.00,corridor_aggregated_5mins_bus,0,5.23,0,413,AGGREGATED,16,16,0.04,412,43,0.04,605.41,6905.06,7.29,0.44,1533.67,616.11,349.00
2400.00,2700.00,corridor_aggregated_5mins_gen,133,41.12,137,5857,AGGREGATED,1273,1273,0.31,5873,43,0.10,380.85,54325.31,11.57,0.69,15450.79,380.23,7288.00
2700.00,3000.00,corridor_aggregated_5mins_all,138,51.11,185,6873,AGGREGATED,1500,1500,0.39,6870,43,0.17,401.73,67527.53,10.97,0.66,19610.06,402.42,9283.00
2700.00,3000.00,corridor_aggregated_5mins_bus,0,4.90,0,387,AGGREGATED,28,28,0.04,386,43,0.04,628.44,6468.40,7.03,0.42,1574.33,642.99,464.00
2700.00,3000.00,corridor_aggregated_5mins_gen,138,44.83,185,6344,AGGREGATED,1442,1442,0.34,6342,43,0.11,384.63,59223.10,11.46,0.68,17559.74,385.54,8646.00
3000.00,3300.00,corridor_aggregated_5mins_all,143,55.84,160,7173,AGGREGATED,1617,1617,0.42,7199,43,0.18,415.79,73772.45,10.60,0.63,22750.26,416.05,10132.33
3000.00,3300.00,corridor_aggregated_5mins_bus,0,5.11,0,390,AGGREGATED,21,21,0.04,391,43,0.04,630.90,6754.88,7.00,0.42,1598.84,644.86,450.00
3000.00,3300.00,corridor_aggregated_5mins_gen,143,49.25,160,6633,AGGREGATED,1561,1561,0.37,6658,43,0.12,400.06,65068.84,11.02,0.66,20650.13,400.40,9441.33
3300.00,3600.00,corridor_aggregated_5mins_all,162,60.76,229,8014,AGGREGATED,1708,1708,0.46,8041,43,0.19,404.83,80267.99,10.89,0.65,23515.00,404.99,10405.00
3300.00,3600.00,corridor_aggregated_5mins_bus,0,5.28,0,406,AGGREGATED,29,29,0.04,409,43,0.04,627.79,6974.07,7.03,0.42,1602.64,641.06,407.00
3300.00,3600.00,corridor_aggregated_5mins_gen,162,54.03,229,7465,AGGREGATED,1651,1651,0.41,7489,43,0.13,389.75,71376.08,11.31,0.68,21439.62,390.13,9823.00
3600.00,3900.00,corridor_aggregated_5mins_all,181,64.35,177,8758,AGGREGATED,1649,1649,0.49,8739,43,0.20,397.02,85016.34,11.10,0.66,24311.37,397.06,9908.00
3600.00,3900.00,corridor_aggregated_5mins_bus,0,5.19,0,401,AGGREGATED,10,10,0.04,400,43,0.04,637.75,6859.30,6.92,0.41,1784.47,651.24,502.00
3600.00,3900.00,corridor_aggregated_5mins_gen,181,57.72,177,8201,AGGREGATED,1606,1606,0.44,8183,43,0.14,382.63,76260.83,11.52,0.69,22081.42,382.96,9305.00
3900.00,4200.00,corridor_aggregated_5mins_all,196,77.96,262,9215,AGGREGATED,1893,1893,0.59,9232,43,0.24,454.76,102994.07,9.69,0.58,38657.86,454.40,16084.02
3900.00,4200.00,corridor_aggregated_5mins_bus,0,5.47,0,378,AGGREGATED,28,28,0.04,378,43,0.05,690.81,7228.00,6.39,0.38,1991.04,706.32,709.00
3900.00,4200.00,corridor_aggregated_5mins_gen,196,70.93,262,8686,AGGREGATED,1827,1827,0.54,8703,43,0.18,442.30,93708.66,9.96,0.60,36090.86,442.02,15178.02
4200.00,4500.00,corridor_aggregated_5mins_all,222,76.76,188,9283,AGGREGATED,1896,1896,0.58,9255,43,0.23,448.85,101407.42,9.82,0.59,37245.04,448.80,16061.62
4200.00,4500.00,corridor_aggregated_5mins_bus,0,5.25,0,394,AGGREGATED,30,30,0.04,393,43,0.04,646.38,6939.74,6.83,0.41,1706.68,656.82,475.00
4200.00,4500.00,corridor_aggregated_5mins_gen,222,70.05,188,8747,AGGREGATED,1842,1842,0.53,8722,43,0.18,437.91,92546.51,10.06,0.60,34986.64,438.04,15396.62
